Timestamp,Email Address,Jetsetter Award [Jackie],Jetsetter Award [Jenny],Jetsetter Award [Jamie],Jetsetter Award [James],Jetsetter Award [John],Jetsetter Award [Josh],I <3 Engineering Award [Jackie],I <3 Engineering Award [Jenny],I <3 Engineering Award [Jamie],I <3 Engineering Award [James],I <3 Engineering Award [John],I <3 Engineering Award [Josh]
10/1/2018 17:51:27,40test@test.com,First Choice,,Second Choice,,Third Choice,,,Third Choice,,,First Choice,Second Choice
10/1/2018 17:08:45,8test@test.com,,Second Choice,Third Choice,,First Choice,,First Choice,,Second Choice,Third Choice,,
10/1/2018 19:26:28,6test@test.com,,,,Second Choice,Third Choice,First Choice,,Third Choice,Second Choice,,,First Choice
10/1/2018 23:37:01,86test@test.com,,First Choice,Second Choice,Third Choice,,,Third Choice,,Second Choice,First Choice,,
10/1/2018 14:49:26,60test@test.com,,,Third Choice,,First Choice,Second Choice,First Choice,,,Third Choice,Second Choice,
10/1/2018 9:16:45,14test@test.com,Third Choice,Second Choice,,,First Choice,,,First Choice,,Second Choice,Third Choice,
10/1/2018 9:19:16,32test@test.com,First Choice,,,Third Choice,Second Choice,,,,,Third Choice,Second Choice,First Choice
10/1/2018 11:51:12,45test@test.com,First Choice,,Second Choice,Third Choice,,,,,First Choice,Second Choice,Third Choice,
10/1/2018 11:03:12,67test@test.com,First Choice,,,,Third Choice,Second Choice,First Choice,,Second Choice,,Third Choice,
10/1/2018 17:55:48,58test@test.com,First Choice,,,Third Choice,Second Choice,,,,,Second Choice,Third Choice,First Choice
10/1/2018 16:54:57,23test@test.com,,Third Choice,Second Choice,,,First Choice,,Second Choice,Third Choice,,First Choice,
10/1/2018 18:59:51,17test@test.com,,First Choice,,Second Choice,Third Choice,,First Choice,,,,Third Choice,Second Choice
10/1/2018 20:28:04,13test@test.com,,Third Choice,Second Choice,,,First Choice,,,Second Choice,First Choice,Third Choice,
10/1/2018 1:38:14,20test@test.com,Third Choice,,Second Choice,First Choice,,,,,Third Choice,,First Choice,Second Choice
10/1/2018 18:23:11,74test@test.com,Third Choice,Second Choice,First Choice,,,,Third Choice,Second Choice,First Choice,,,
10/1/2018 16:22:14,33test@test.com,,,,First Choice,Second Choice,Third Choice,,First Choice,Second Choice,Third Choice,,
10/1/2018 15:23:02,89test@test.com,,,,Third Choice,Second Choice,First Choice,Third Choice,Second Choice,,,First Choice,
10/1/2018 19:12:24,96test@test.com,,,Second Choice,First Choice,Third Choice,,First Choice,,,Third Choice,Second Choice,
10/1/2018 19:35:54,78test@test.com,,Third Choice,,,First Choice,Second Choice,,Third Choice,Second Choice,,,First Choice
10/1/2018 18:16:00,19test@test.com,,,First Choice,Second Choice,Third Choice,,,,,First Choice,Second Choice,Third Choice
10/1/2018 5:35:38,22test@test.com,,Second Choice,Third Choice,,,First Choice,,Second Choice,Third Choice,,,First Choice
